Segundos,RPM
0.500,0.00
0.505,0.00
0.510,0.00
0.515,0.00
0.520,0.00
0.525,0.00
0.530,0.00
0.535,0.00
0.540,0.00
0.545,0.00
0.550,0.00
0.555,0.00
0.560,0.00
0.565,0.00
0.570,0.00
0.575,0.00
0.580,0.00
0.585,0.00
0.590,0.00
0.595,0.00
0.600,0.00
0.605,0.00
0.610,0.00
0.615,0.00
0.620,0.00
0.625,0.00
0.630,0.00
0.635,0.00
0.640,0.00
0.645,0.00
0.650,15.00
0.655,35.00
0.660,70.00
0.665,95.00
0.670,125.00
0.675,155.00
0.680,185.00
0.685,215.00
0.690,245.00
0.695,270.00
0.700,305.00
0.705,330.00
0.710,360.00
0.715,395.00
0.720,420.00
0.725,450.00
0.730,470.00
0.735,500.00
0.740,520.00
0.745,535.00
0.750,550.00
0.755,560.00
0.760,575.00
0.765,580.00
0.770,585.00
0.775,590.00
0.780,595.00
0.785,600.00
0.790,605.00
0.795,610.00
0.800,615.00
0.805,620.00
0.810,620.00
0.815,625.00
0.820,620.00
0.825,625.00
0.830,620.00
0.835,625.00
0.840,620.00
0.845,625.00
0.850,620.00
0.855,615.00
0.860,620.00
0.865,615.00
0.870,615.00
0.875,620.00
0.880,615.00
0.885,620.00
0.890,620.00
0.895,625.00
0.900,625.00
0.905,630.00
0.910,635.00
0.915,630.00
0.920,625.00
0.925,630.00
0.930,625.00
0.935,625.00
0.940,625.00
0.945,625.00
0.950,620.00
0.955,620.00
0.960,620.00
0.965,615.00
0.970,615.00
0.975,615.00
0.980,620.00
0.985,620.00
0.990,625.00
0.995,630.00
1.000,625.00
